"Draw date","Results","Winning Numbers",,,,,,"B","Jackpot","Jackpot",,,,,,,
3/12/2014,"11 12 16 20 35 46 34 There were 50 Lotto Raffle numbers in this draw",11,12,16,20,35,46,34,"£2,455,221 Rolled","£2,455,221",,,,,,,
3/8/2014,"2 9 12 26 31 44 5 There were 50 Lotto Raffle numbers in this draw",2,9,12,26,31,44,5,"£2,996,753","£2,996,753",,,,,,,
3/5/2014,"1 4 5 8 25 46 30 There were 50 Lotto Raffle numbers in this draw",1,4,5,8,25,46,30,"£1,563,684","£1,563,684",,,,,,,
3/1/2014,"4 9 10 13 29 40 45 There were 100 Lotto Raffle numbers in this draw",4,9,10,13,29,40,45,"£4,358,812","£4,358,812",,,,,,,
2/26/2014,"3 10 11 24 25 35 43 There were 50 Lotto Raffle numbers in this draw",3,10,11,24,25,35,43,"£1,621,069 Rolled","£1,621,069",,,,,,,
2/22/2014,"19 23 34 35 39 49 33 There were 100 Lotto Raffle numbers in this draw",19,23,34,35,39,49,33,"£7,647,028","£7,647,028",,,,,,,
2/19/2014,"17 19 35 37 46 48 2 There were 50 Lotto Raffle numbers in this draw",17,19,35,37,46,48,2,"£3,034,430 Rolled","£3,034,430",,,,,,,
2/15/2014,"15 17 19 22 33 40 27 There were 100 Lotto Raffle numbers in this draw",15,17,19,22,33,40,27,"£5,650,135","£5,650,135",,,,,,,
2/12/2014,"3 7 20 24 30 39 48 There were 50 Lotto Raffle numbers in this draw",3,7,20,24,30,39,48,"£1,810,601 Rolled","£1,810,601",,,,,,,
2/8/2014,"8 25 27 36 39 44 4 There were 100 Lotto Raffle numbers in this draw",8,25,27,36,39,44,4,"£6,497,209","£6,497,209",,,,,,,
2/5/2014,"12 13 28 33 46 49 29 There were 50 Lotto Raffle numbers in this draw",12,13,28,33,46,49,29,"£2,694,454 Rolled","£2,694,454",,,,,,,
2/1/2014,"27 34 35 36 41 48 29 There were 50 Lotto Raffle numbers in this draw",27,34,35,36,41,48,29,"£5,710,291","£5,710,291",,,,,,,
1/29/2014,"9 29 37 38 42 46 35 There were 50 Lotto Raffle numbers in this draw",9,29,37,38,42,46,35,"£2,793,464","£2,793,464",,,,,,,
1/25/2014,"4 15 21 30 41 49 11 There were 50 Lotto Raffle numbers in this draw",4,15,21,30,41,49,11,"£4,865,460","£4,865,460",,,,,,,
1/22/2014,"2 6 9 18 24 35 19 There were 50 Lotto Raffle numbers in this draw",2,6,9,18,24,35,19,"£1,563,904","£1,563,904",,,,,,,
1/18/2014,"7 12 23 27 30 31 33 There were 50 Lotto Raffle numbers in this draw",7,12,23,27,30,31,33,"£2,708,045","£2,708,045",,,,,,,
1/15/2014,"4 11 13 24 32 46 19 There were 50 Lotto Raffle numbers in this draw",4,11,13,24,32,46,19,"£2,226,421","£2,226,421",,,,,,,
1/11/2014,"22 23 25 27 28 46 24 There were 100 Lotto Raffle numbers in this draw",22,23,25,27,28,46,24,"£7,505,717","£7,505,717",,,,,,,
1/8/2014,"19 23 31 36 45 46 27 There were 50 Lotto Raffle numbers in this draw",19,23,31,36,45,46,27,"£3,097,936 Rolled","£3,097,936",,,,,,,
1/4/2014,"4 11 18 28 41 44 8 There were 250 Lotto Raffle numbers in this draw",4,11,18,28,41,44,8,"£0 Roll Down","£0 Roll Down",,,,,,,
